ZIP,total_crime,violent_crime_rate,property_crime_rates,drug_cimes,vandalism,other_crimes
91342,43.222,3.842,15.12,18.04,4.89,1.33
91343,64.175,4.359,24.24,28.84,5.526,1.21
91344,24.498,2.457,10.83,7.482,2.679,1.05
91345,49.875,3.284,20.49,19.61,5.291,1.2
91350,18.527,3.221,11.32,1.327,1.519,1.14
91351,24.809,3.384,12.48,4.411,3.284,1.25
91352,48.362,4.783,20.43,16.93,4.499,1.72
91354,19.621,2.395,11.11,2.735,2.101,1.28
91355,20.134,3.193,9.753,3.427,2.431,1.33
91356,31.268,3.556,11.48,11.03,4.202,1
91364,25.569,2.175,10.34,8.891,3.103,1.06
91367,30.769,2.995,13.17,10.07,3.354,1.18
91381,29.236,2.639,18.68,3.639,2.918,1.36
91384,144.865,18.62,33.97,2.115,84.56,5.6
91387,21.151,2.567,12.5,2.372,2.532,1.18
91390,15.221,2.838,7.267,1.364,2.572,1.18
91401,55.337,3.797,18.97,20.31,10.79,1.47
91402,52.115,6.549,19.26,21.6,3.546,1.16
91403,29.183,2.731,13.28,9.018,2.974,1.18
91405,63.405,7.162,23.4,23.27,8.503,1.07
91406,62.294,6.104,20.95,21.4,12.78,1.06
91411,54.779,6.056,22.05,18.19,7.403,1.08
91423,44.272,3.583,16.68,12.7,9.719,1.59
91436,33.209,3.479,11.45,13.55,3.71,1.02
91501,25.974,2.494,11.54,6.416,3.884,1.64
91502,46.463,5.477,19.19,13.38,6.546,1.87
91504,30.604,3.429,14.17,8.085,3.13,1.79
91505,30.199,2.936,14.46,6.331,4.422,2.05
91506,25.958,2.8,14.29,3.249,3.379,2.24
91601,46.733,3.998,18.69,17.92,4.385,1.74
91602,33.119,2.906,14.49,9.483,4.23,2.01
91604,31.007,2.623,12.58,9.409,4.905,1.49
91605,59.096,5.941,20.99,25.15,5.295,1.72
91606,54.467,4.434,20.54,20.7,7.053,1.74
91607,39.524,3.195,16.92,12.61,5.099,1.7
91702,27.057,2.741,15.85,4.161,2.975,1.33
91706,54.737,4.014,28.98,14.14,6.143,1.46
91711,34.123,3.891,17.83,6.357,5.015,1.03
91722,33.194,2.492,14.56,12.34,2.512,1.29
91723,27.09,2.636,18,2.929,1.965,1.56
91724,21.202,2.358,12.39,1.412,3.752,1.29
91731,49.423,4.558,21.15,13.78,8.275,1.66
91732,43.533,4.816,20.65,7.511,8.876,1.68
91733,47.83,4.816,24,7.493,9.571,1.95
91740,23.044,2.823,14.01,1.636,3.235,1.34
91741,24.013,3.035,12.57,3.811,3.287,1.31
91744,43.665,3.324,29.57,7.469,1.872,1.43
91745,30.318,2.823,20.05,4.332,1.683,1.43
91746,74.522,4.112,33.26,23.33,12.22,1.6
91748,28.108,3.86,13.06,8.372,1.456,1.36
91750,18.47,2.094,10.33,1.124,3.832,1.09
91754,35.563,3.957,19.45,6.728,3.898,1.53
91755,29.319,3.894,16.38,2.855,4.83,1.36
91765,17.806,2.807,8.589,3.272,1.878,1.26
91766,39.677,4.748,18.47,6.307,9.032,1.12
91767,40.707,3.978,16.37,9.617,9.672,1.07
91768,45.11,4.033,20.05,3.617,16.17,1.24
91770,27.551,4.844,15.32,2.081,3.836,1.47
91773,25.539,2.553,14.7,3.439,3.457,1.39
91775,25.787,3.856,11.04,7.317,2.304,1.27
91776,30.01,5.342,16.61,1.707,4.921,1.43
91780,29.01,4.327,13.04,6.632,3.711,1.3
91789,25.032,3.445,15.77,2.33,2.097,1.39
91790,48.468,3.24,29.36,12.74,1.738,1.39
91791,37.053,2.286,30.17,2.047,1.24,1.31
91792,26.02,3.324,16.4,1.269,3.687,1.34
91801,33.647,3.954,16.85,5.425,5.998,1.42
91803,31.997,4.069,19.44,2.248,4.89,1.35
93510,17.271,2.85,7.409,2.098,3.914,1
93532,35.809,5.175,10.7,11,7.734,1.2
93534,60.792,8.862,19.8,13.11,17.97,1.05
93535,37.968,5.112,15.6,11.93,4.356,0.97
93536,65.691,3.915,18.53,7.736,34.44,1.07
93543,37.946,3.127,13.52,9.049,11.23,1.02
93544,85.051,8.547,12.67,1.544,61.06,1.23
93550,42.691,4.482,15.95,12.03,9.199,1.03
93551,26.232,1.933,10.11,10.1,3.129,0.96
93552,44.118,2.048,12.72,11.73,16.67,0.95
93591,44.128,3.375,22.56,9.754,7.449,0.99
